Sample in Buffer,Sample in Window,TRIGGER,sample_data[7:0],wr_en,wr_addr[10:0],wr_data[7:0],capturing,triggered,capture_done,trigger_index[10:0],trigger_enable_state,trigger_mode_sel[1:0],config_channel_idx[2:0],btn_trigger_pulse,btn_channel_pulse,btn_type_pulse,btn_mode_pulse,curr_trig_cfg_ext[7:0],p_0_in,sw_test_pattern_IBUF[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX
216,216,0,11010001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
217,217,0,11010010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
218,218,0,11010011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
219,219,0,11010100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
220,220,0,11010101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
221,221,0,11010110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
222,222,0,11010111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
223,223,0,11011000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
224,224,0,11011001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
225,225,0,11011010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
226,226,0,11011011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
227,227,0,11011100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
228,228,0,11011101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
229,229,0,11011110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
230,230,0,11011111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
231,231,0,11100000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
232,232,0,11100001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
233,233,0,11100010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
234,234,0,11100011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
235,235,0,11100100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
236,236,0,11100101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
237,237,0,11100110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
238,238,0,11100111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
239,239,0,11101000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
240,240,0,11101001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
241,241,0,11101010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
242,242,0,11101011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
243,243,0,11101100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
244,244,0,11101101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
245,245,0,11101110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
246,246,0,11101111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
247,247,0,11110000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
248,248,0,11110001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
249,249,0,11110010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
250,250,0,11110011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
251,251,0,11110100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
252,252,0,11110101,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
253,253,0,11110110,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
254,254,0,11110111,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
255,255,0,11111000,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
256,256,0,11111001,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
257,257,0,11111010,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
258,258,0,11111011,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
259,259,0,11111100,0,000,00001100,0,0,0,000,0,0,3,0,0,0,0,00000101,1,0
